"tag";"bandNumber";"Color";"species";"sex";"age";"Wing.chord.num";"Site";"captureSite"
"0700EE44C8";"7969028";"TCGM";"Blue";NA;"+1a";65;"C1";"C1"
"01101725E5";"8383365";"TWPM";"Blue";NA;"1a";62;"C1";"C1"
"01103F7CB5";"8383364";"YMTV";"Great";"M";"+1a";77.5;"C1";"C1"
"0700EE0521";"7476395";"TCMO";"Blue";NA;"+1a";69;"C1";"C1"
"01101721E8";"8383381";"TWGM";"Great";"F";"1a";72;"C1";"C1"
"011016CC3D";"8383572";"TVMO";"Great";"F";"1a";73;"C1";"C1"
"0110172A27";"8383376";"JMTW";"Great";"M";"+1a";77.5;"C1";"C1"
"0700EDFBC1";"8383368";"MNTR";"Great";"M";"1a";79;"C1";"C1"
"0700EDFB7B";"7719798";"BMTY";"Blue";"M";"+1a";66.5;"C1";"C1"
"0700EE3CBB";"7969054";"TYGM";"Marsh";NA;"+1a";62;"C1";"C1"
"0700ED8AD9";"7969196";"TRMN";"Blue";"M";"+1a";67;"C1";"C1"
"0300026B7E";"7719887";"TARM";"Blue";NA;"+1a";68;"C1";"C1"
"0700EDB891";"7720428";"MOTY";"Blue";"M";"+1a";66;"C1";"C1"
"0700ED9012";"8425237";"TRMJ";"Great";NA;NA;80;"C1";"C1"
"011016F3F4";"8383620";"TCUM";"Great";"M";NA;77;"C1";"C1"
"0700EDB6ED";"7476827";"OMTA";"Great";"M";"+1a";80;"C1";"C1"
"0700EE3ED4";"6954902";"TCMX";"Blue";"F";"+1a";62;"C1";"Nest"
"0110171774";"8239862";"TGMN";"Great";"M";"1a";75;"C1";"C1"
"011016D71D";"8383667";"MYTV";"Great";"F";"+1a";74.5;"C1";"C1"
"01101721D7";"8425557";"TGMV";"Blue";"F";"1a";64;"C1";"C1"
"01103F67EE";"7476604";"TVVM";"Great";"M";"+1a";81.5;"C1";"C1"
"011016EA40";"8425588";"TVMA";"Blue";"M";"1a";67;"C1";"C1"
"0700EDF6BD";"8425974";"EMTC";"Blue";"M";"+1a";69;"C4";"C1"
"03000273DE";"7476918";"TNPM";"Blue";"F";"+1a";65;"C1";"Nest"
"011016AE81";"8383670";"TCCM";"Great";"M";"+1a";76;"C1";"C1"
"01101732F3";"8383668";"MPTG";"Great";"M";"1a";72.5;"C1";"C1"
"0110170AD2";"8239864";"TGMR";"Marsh";NA;NA;65;"C1";"C1"
"011016EBF6";"8383201";"UMTY";"Great";"F";"1a";74;"C1";"C1"
"0700ED9485";"7476936";"TYOM";"Blue";"F";"+1a";62;"C1";"Nest"
"0110174553";"8425254";"BMTW";"Great";"F";"1a";73;"GJ";"GJ"
"0110171D83";"8239847";"TGMB";"Great";"M";"+1a";75.5;"C1";"C1"
"01101721DF";"8383605";"JMTG";"Great";"F";"+1a";72;"C4";"C4"
"0700EDA407";"8383214";"CMTA";"Great";"M";"+1a";76;"C4";"C4"
"0700EDD043";"7969832";"TCMY";"Great";"M";"+1a";78;"C4";"Nest"
"0700ED95A1";"7969716";"RMTA";"Blue";"F";"+1a";64;"C4";"C4"
"0110171998";"8239599";"YMTG";"Blue";NA;"1a";62;"C4";"C4"
"0110173B48";"8239584";"YMTW";"Great";"M";"+1a";76;"C4";"C4"
"011016BDC2";"8383601";"OMTV";"Marsh";NA;NA;61.5;"C4";"C4"
"0700EE26E1";"8239591";"MXTY";"Great";"M";"+1a";78;"C4";"C4"
"0700EDE41C";"8383708";"MOTC";"Marsh";NA;NA;65;"C4";"C4"
"0700EDAB92";"8239578";"XMTR";"Marsh";NA;"+1a";65;"C4";"C4"
"011017279C";"8383206";"UMTG";"Great";"M";"+1a";74.5;"C4";"C4"
"0700EE008B";"8425041";"OMTR";"Great";"M";"+1a";76;"H1";"H1"
"0700EDB02A";"8383710";"TACM";"Great";"F";"1a";72;"C4";"C4"
"011016F8AF";"8383608";"TVWM";"Great";"M";"+1a";74;"C4";"C4"
"0700EDA3D6";"7969386";"MATY";"Marsh";NA;"+1a";62;"C4";"C4"
"01101703AC";"8383235";"TGYM";"Blue";NA;"+1a";69.5;"C4";"C4"
"0700ED866A";"8383623";"TRUM";"Great";"M";"1a";74;"C4";"C4"
"011016C59E";"8383577";"WMTV";"Great";"M";"+1a";79;"C4";"C4"
"01101702AE";"8239573";"VMTG";"Great";"M";"+1a";77.5;"C4";"C4"
"0700EDABC1";"8383212";"CMTR";"Great";"M";"+1a";77.5;"C4";"C4"
"011016F349";"8383392";"MCTC";"Great";"M";"+1a";74.5;"H1";"H1"
"0700EDD01F";"8383396";"MCTA";"Great";"F";NA;74.5;"H1";"H1"
"011016B200";"8383363";"VMTV";"Great";"M";"+1a";77;"C4";"C4"
"011016E818";"8383603";"JMTY";"Great";"M";"1a";74;"C4";"C4"
"0110173F9B";"8239817";"AMTG";"Great";"M";"+1a";69;"C4";"C4"
"01101729C0";"8383209";"UMTW";"Great";"F";"+1a";77.5;"C4";"C4"
"01101737D5";"8239811";"WMTG";"Great";"F";"+1a";74;"C4";"C4"
